 ,Location 1,Location 2,Location 3
মুক্তিযুদ্ধের পুরো গোয়াটাই মাইর দিলো।,Barisal,Bhola,
Shamiul Hassan Nihan Hasibul Alam এতে ও বুঝি মন্ত্রী ব্যপারটা হজম হইলো না,Comilla,,
হু** গা মারা সারা,Dhaka,Gazipur,
প্রতিমন্ত্রী না প্রতিবন্ধী,Sylhet,,
ও ৭১ সালে শিশু মুক্তিযোদ্ধা ছিল আমি কিন্তু নিজে দেখেছি ওকে যুদ্ধ করতে,Narayanganj,,
জাতির জন্য লজ্জার বিষয় এরকম মানুষের কাছ থেকেও মুক্তিযুদ্ধ সম্পর্কে জানতে হবে,Narayanganj,,
৭১ সালে ঘেরাও ইশরাকের জন্মই হয় নাই সো কিভাবে ও মুক্তিযুদ্ধ বিষয়ক মন্ত্রী হয়!,Dhaka,,
এই মুক্তি জুদদো বলতে কি বোঝে,Dhaka,,
প্রতিবন্ধী মন্ত্রী,Dhaka,,
হয়ছে মুক্তিযোদ্ধের হো … মারা শেষ,Chittagong,,
"""বাংলাদেশের প্রত্যেকটা বিএনপি শিশু কর্মীকে মুক্তিযোদ্ধার সার্টিফিকেট দিয়ে দিবে কথাটা মিলিয়ে নিয়েন,""",Dhaka,Sylhet,Habiganj
সে তো একটা পাগল,Dhaka,,
Mohammad Sohag o to gherao montronaloyer daitto pawar kotha..o to se kaje dokkho,Dhaka,,
boka choda sala,Dhaka,Barisal,
এইসব আবালও এমপি মন্ত্রী হয়,Dhaka,,
"""ভাইয়ার বউ যে কুখ্যাত রাজাকারের মেয়ে, সেটা জানেন আপনারা?""",নোয়াখালী,Chittagong,Noakhali
প্রতিবন্ধি,চাঁদপুর,ঝিনাইদহ,Dhaka
চোদনা,Dhaka,,
এই পাগল,Dhaka,,
ও নিজেই তো হলো একটা সন্ত্রাস,Dhaka,,
"""ওই সারাজীবন বিদেশে থেকে ফস্টিনস্টি করে বেড়াইছে, তাও বাচ্চা একটা ছেলে, ও মুক্তিযুদ্ধের কি বুঝবে?""",Dhaka,Chittagong,Noakhali
প্রতিমন্ত্রী না প্রতিবন্ধী,Bandarban,,
প্রতিমন্ত্রী প্রতিবন্ধী ( ),Dhaka,Gazipur,
অভদ্র একটা,Dhaka,Netrokona,
ঘেরাও বিষয়ক মন্ত্রী,Barisal,,
মুক্তিযোদ্ধাদের গোয়া মারছে এইবার,Dhaka,Rangpur,
"""বসে, ইচ্ছেমতো লুটপাট করে বাংলাদেশকে দুর্নীতিতে চ্যাম্পিয়ন করিস। কেমন!""",Dhaka,,
ভুয়া প্রতিমন্ত্রী,Rajshahi,,
Mehran Ahmed এই ধইঞ্চা রে না দিলেও পারতো,Dhaka,,
চোর সালা,Sirajganj,,
ভুয়া,Dhaka,Jashore,
এবার তারেক রহমানের মেয়ে মুক্তিযোদ্ধ হয়ে যাবে,Barisal,,
অয় তো নিজেই একটা রাজাকার,Dhaka,,
খাইছেরে,Dhaka,,
ফজু পাগলা রে দেন জামাতের পুটকি মারা সারা,Cumilla,Comilla,
রুমিন আর ইশরাক দুজনে পালিয়েছে? পোলাপানে বিবাহের গুঞ্জন উঠাইছে।,Dhaka,,
ইশরাক হোসেন প্রতি মন্ত্রী …,কিশোরগঞ্জ,Dhaka,Kishoreganj
"""এখন বলবে সে ৭১ এর মুক্তিযুদ্ধা,,,লোক আর পাইল না""",Dhaka,Mymensingh,
ভোট চোর মন্ত্রণালয়ের দায়িত্ব কে নেবে??,Dhaka,,
"""বেডা যেইভাবে যুদ্ধ করে জিয়ার কবরে সবার সামনে জায়গা করে নিছে,এতে করে এই পদ দেওয়াটাই স্বাভাবিক""",Dhaka,Chandpur,
সে তো ব্যারিস্টার পাস করে দেশে আসছে মুক্তিযোদ্ধা মন্ত্রী পদে দায়িত্ব পালন করবে কিভাব পরা তো টাকা টুকা সবকিছুই লুট করে খাবে,Dhaka,Naogaon,
ইশরাক আছে না ইশরাক এর আব্বায় মুক্তি যুদ্ধ দেখছে কি না সন্দেহ আর এই বাচ্চা কে দিছে মুক্তি যুদ্ধ বিষয় মন্ত্রী,Dhaka,,
জামাত শিবিরকে সরাসরি রাজাকার বলার পাশ পেয়ে গেল,Dhaka,Jamalpur,
লেইট প্রতিমন্ত্রী,Mymensingh,,
তোদের মত মিডিয়া দেখলে হাসি পায়,Dhaka,,
৭১ এর বিরোধীতাকারী পেতাত্বাদের গায়ে জ্বলা তঙ্ক শুরু হয়ে গেছে,বগুড়া,Dhaka,Rangpur
ভোট চোর,Dhaka,,
এ ভোট চোর কি মন্ত্রী হবার যোগ্য?,ভোলা,Barisal,Bhola
"""আমি নতুন এই কনসেপ্ট নিয়ে কাজ করছি যেখানে কোনো ডিজাইনই রিপিট হবে না। যারা ইউনিক কিছু পরতে ভালোবাসেন, তারা চাইলে আমার ল্যাব ঘুরে আসতে পারেন:""",Dhaka,,
"""ইশরাকের মধ্যে এমন কি পাইছে তারেক সাহেব, বুজলাম না! একবার মেয়র পদে আবার সংসদ সদস্য এখন মন্ত্রী, ওর যোগ্যতাটা কি? ওর বাবা বড় রাজ…""",Dhaka,Chittagong,Chandpur
মারছেরে,Sylhet,Habiganj,
মুক্তিযোদ্ধের সময় কি ওর জন্ম হয়েছিল,Dhaka,Rajshahi,
টাহি পোলাপান এগুলো,Dhaka,,
"""সার্কাসের মতো,,দেশ এখন পুরো বিএনপির বাকীসব রোহিঙ্গা""",Dhaka,Chittagong,Sylhet
টোকাই সালা,ঢাকা,Dhaka,Khulna
প্রতিমন্ত্রী প্রতিবন্ধী,চট্টগ্রাম,জামালপুর,Mymensingh
দুচে দিয়েছে ভাগিনারে,Thakurgaon,,
উনি তো সব মুক্তিযোদ্ধাকে ঘেরাও করবে,Dhaka,Mymensingh,
মদ খেয়ে মাতলামি করা লোক হলো মুক্তিযুদ্ধ বিষয়ক প্রতিমন্ত্রী। বুঝলাম কেমন হলো মন্ত্রীসভা,Dhaka,Gazipur,Madaripur
ওয় মুক্তিযুদ্ধের কোন বাল বুজে,Dhaka,,
ওয়ারিশ মনএি,Dhaka,,
পুংটা মারা সারা,Dhaka,Rajshahi,Kushtia
আবার নতুন করে রাজাকার তৈয়ার করার কারিগর পেয়েছে,Dhaka,Brahmanbaria,
ইসরাকের জায়গায় অ্যাডভোকেট ফজলুল হক কে দিলো ভালো হইতো।,Dhaka,,
সেকি ভালো করে মুক্তি যুদ্ধের ইতিহাস জানে হায় জাতি,Dhaka,,
"""নিজের চেয়ারের খুঁটি খুজে পাবেনি,,বিএনপির সবচেয়ে অযোগ্য ব্যাক্তি প্রতি মন্ত্রী""",Chittagong,Rangamati,
এর চাইতো ঘেরাও উপদেষ্টা ই ভালো ছিলো,Dhaka,,
প্রতিমন্ত্রী প্রতিবন্ধী,Chittagong,Chandpur,
ধাক্কাধাক্কি মন্ত্রলায় দেওয়ার দরকার ছিলো তাকে,Dhaka,Mymensingh,
মাইরাহালছে রে,Dhaka,Pabna,Jamalpur
বাল,Chittagong,,
বিএনপির যত রাজাকার ছিল সব এবার মুক্তিযোদ্বা হয়ে যাবে,Dhaka,,
কেন বিএনপিতে কি কোনো নির্বাচিত মুক্তিযোদ্ধা ছিলোনা?,Dhaka,,
এগুলো বাল,Dhaka,Chittagong,Lakshmipur
ঘেরাও মন্ত্রী দেওয়া দরকার ছিলো,Dhaka,Chandpur,
"""বর্তমানে কি সংবিধান আছে, সংস্কার কোন সংবিধানের করতে হবে,…""",Dhaka,,
"""First you need to go the parliament to make the changes , then people vote will happen then passed by the parliament, then sig…""",Dhaka,,
Awesome! Congratulations!!,Dhaka,,
"""জুলাই সনদ বাস্তবায়ন না করলে,, এই সংসদ অবৈধ,, ৭২ সংবিধান দেশ চললে,, …""",Dhaka,Natore,
সংবিধান সংস্কার পরিষদ বলতে সংবিধানে কিছু নাই।,Dhaka,Barisal,
"""সিগনেচার করে আরেকজনেরটা দেইখা সংসদে কথা বলবে কি ভাবে এটা আসলেই ভাবার ব্যাপার,""",Dhaka,,
তুমি আবার কথাও বলবা!,Dhaka,,
ঢাকার প্রতিটি এলাকায় মশার উপদ্রবে জনগণ নাজেহাল। সিটি কর্পোরেশনের ইন্সপেক্টর সহ সিটি কর্পোরেশনে যারা দায়িত্বপ্রাপ্ত এদের সকলে…,Dhaka,,
নাহিদকে আইনের আওতায় আনা হউক,Dhaka,Gopalganj,
এদের নিউজ ছাড়া কি কোনো নিউজ নেই?,Dhaka,,
তাইলে আয় রাজপথে.. তোদের অপেক্ষায় লাখো জনতা..,Dhaka,Gazipur,
Right,Dinajpur,,
সময় থাকতে পড়ালেখায় মন দিয়ে এটাই মঙ্গল হবে,রাজশাহী,নাটোর,Rajshahi
কথা বলতে হবে সাধারণ মানুষ সিদ্ধান্ত নিবে আফটার নাহিদ ইসলাম ইনশাআল্লাহ,Sylhet,Habiganj,
"""‘দেশ যাবে নতুন পথে, ফিরবে না আর ফ্যাসিবাদে।' ইনকিলাব জিন্দাবাদ।""",Dhaka,Faridpur,
Good,Dhaka,Jamalpur,
Absolutely right.,Dhaka,,
ইনকিলাব জিন্দাবাদ,Dhaka,,
ঠিক,রাজশাহী,Dhaka,
জুলাই বিক্রি করে দুই বছরে সবাই নিজেদের আখের গুছিয়ে নিছে,বরিশাল,Barisal,
কথা আমরা রাজপথেই বলবো ইনশাআল্লাহ,Dhaka,,
কি দরকার,কুমিল্লা,Cumilla,Comilla
মানুষকে শুধু উল্টাপাল্টা বুঝানো হচ্ছে,Dhaka,,
তাহলে বলিস না তাহলেই চলে,Dhaka,,
তোমাদের আর কথা হবে না,Rajshahi,,
রাজপথে ফয়সালা হবে ইনশাআল্লাহ,Dhaka,Khulna,Satkhira
সূর নরম হয়ে গেলো কেনো,Dhaka,Sylhet,
ক্লিয়ার,Sylhet,,
অবশ্য ই,Dhaka,,
ঠিক,Dhaka,,
Yes,Barisal,Bhola,
Toi voia,Dhaka,,
"""বিএনপি করছে দেশের উন্নয়ন, জামাত করছে রাস্তাঘাট পরিষ্কার, আর এন সিপির কাজ হচ্ছে সমালোচনা করা।""",Dhaka,,
এই শালাকে ধরে ডিম থেরাপি দেওয়া হোক,Chittagong,Patuakhali,
যা বেডা ফুট,Barisal,,
সংবিধান তোমার মার সাউয়া দিয়ে ভরে দেব,Sylhet,,
কোটা নেতা,Dhaka,Khulna,Jessore
তোদের কপালে এইটা আছে,Barisal,,
কথা বলতে হবে না এমনিতেই বিরোধী দলের সময় কম দেওয়া হয়,Dhaka,,
বাকোয়াজ,Dhaka,Gopalganj,
Kotha boilo jail a,Dhaka,,
Right,Tangail,,
দরকার নেই,কুমিল্লা,Comilla,
বিপদ কেটে গেলে মানুষ বিএনপি হয়ে যায়।,Dhaka,,
"""টাকার হিসাব টা দাওনা কেন,""",Dhaka,,
"""'রাষ্ট্রপতির হাতে আপনি শপথ নিলেন, আবার তাকে আপনি সাংবিধানিক প্রধান মানবেন না'""",Dhaka,,
সারজিস যে মাতারবাড়ি প্রজেক্টের কয়লা সাপ্লাই কোম্পানি থেকে ০১হাজার কোটি টাকা নিলো ওইটার কি খবর,Dhaka,,
লাগাও মব,Chittagong,Pirojpur,
জুলাই সনদ বাস্তবায়ন না হলে এই সংসদ অবৈধ সিধে কথা,Dhaka,,
পরিবেশের দরকার নেই,Dhaka,Mymensingh,Gazipur
খাল কেটে কুমির আনতেছে বি এন পি,Dhaka,,
"""বিপদ কেটে গেলে মানুষ বিএনপি হয়ে যায়! NCP জিন্দাবাদ, ইনকিলাব জিন্দাবাদ।""",Dhaka,,
বিপদ কেটে গেলে মানুষ বিম্পি হয়,Bagerhat,,
জামিন দেওয়া শুরু হয়ে গেছে আমাদের সব জয়বাংলা নেতাদেরকে …,Cox's Bazar,,
R kotha bolis na tora,Chittagong,,
তর কথা কার বালে শোনে,Dhaka,Sunamganj,
পুলিশ হত্যার বিচার চাই,Dhaka,,
Rights,Dhaka,,
তোমরা ৭১'এর পরাজিত অপশক্তির সাথে মিলেমিশে একাকার হয়ে জুলাই তথা সাধীনতা যুদ্ধ তথা বাংলাদেশের সকীয়তার সাথে গাদদারী করেছো। কথা…,Dhaka,Satkhira,
তোমাদের মত কুলংগারের যায়গা পবিত্র সংসদে হবে না।,Barisal,,
পুলিশ হত্যার দায়ের তোর ফাঁসি হবে,সিলেট,Dhaka,
"""আরে বেডা তুই হত্যাকারী, পুলিশ হত্যাকারী তোর কিসের কথা,…""",Dhaka,Comilla,
পুলিশ হত্যার দায়ে তোর ফাসি হবে সাংসদের পরিবেশ দিয়ে কি করবেন,Dhaka,Chandpur,
Right,Dhaka,,
এনসিপি মব সন্ত্রাসী সংগঠন নিবন্ধন বাতিল করে যারা অটো এম পি হয়েছে এদের বিচার করতে হবে,Dhaka,,
সংসদে তোমি কথা না বললেও সংসদ তোমাকে অনুরোধ করবেনা।,Dhaka,Brahmanbaria,
তোদের মত ছাগল এর কথায় কি আসে ষায়,Chittagong,Brahmanbaria,
আরে বেটা বাটপার তুই কি ভোটে এমপি হ‌ইছস তুই তো পঞ্চাশ হাজার ভোটের ব্যবধানে পরাজিত হ‌ইছস কাইয়ুম কমিশনারের সাথে তোর আব্বা ইউনুস …,Dhaka,,
২৪ শে ফ্যাসিস্টরা পুলিশ হত্যা ও বিভিন্ন থানা অগ্নিসংযোগ অস্ত্র লুট হওয়া প্রত্যেকটি হামলার তদন্ত করে জুলাই ফ্যাসিস্টদের ফাঁসিত…,Dhaka,,
কথা বলা তো দূরের কথা সংসদে কয় যাইতে পারো সেটার জন্য দোয়া ইউনু পর।,Chittagong,Patuakhali,
পুলিশ হত্যার বিচার চাই,Sylhet,,
ভাই এইসব কথা বাদ দাও আগে বিক্রি করা জুলাই ফেরত নিয়ে আসো,Dhaka,,
সংস্কার চাই,Dhaka,Narsingdi,
তা হলে পড়া লেখা করে দেশের বাহিরে চলে যাও---তোমাদের দারা রাজনীতি মানায় না------,Dhaka,,
Right,Dhaka,,
তুমি না বল্লে কিছু যাই আসে না।,Chittagong,,
তোর সংসদে যাওয়ারটা দরকার কি,Dhaka,,
পাকিবীজ বলে কী,Dhaka,Gopalganj,
"""Right, I agree it""",Khulna,,
দরকার নেই,পিরোজপুর,Dhaka,
তোমাগো কথা বলার প্রয়োজন নাই দেড় বছরে পোলাপানরে যা শিখাইছো তোমরা বেয়াদবি কুলাঙ্গার কতগুলো পোলাপান রাস্তায় নামাইছে মানুষকে ই…,Dhaka,,
বিরোধী দলের কথা বলার দরকার কি শুনলে তো হয়..?,Chittagong,Comilla,
হালার পুতে যে ভাব দেখাচ্ছে মনেহয় সংসদের পুরান লোক।,Dhaka,,
কথা হবে রাজপথে,Dhaka,,
ঠিক,Khulna,Sylhet,
নিজের যোগ্যতা দিয়ে সংসদে যাওয়ার চিন্তাভাবনা কর তুমি তো হয়েছ বারো ভাতারি দল সাহস থাকলে একা নির্বাচন করে সংসদে যেয়ে দেখাও,Dhaka,,
right,Dhaka,,
আগে যে তোমার সম্পদের হিসাব দিতে হবে মামু।,Dhaka,,
Right,Dhaka,Khulna,Kushtia
টোকাই এখন দেশের নেতা,Dhaka,,
টোকাইদের কথামতো দেশ চলবেনা,চট্টগ্রাম,Chittagong,
যাকাত ফিতরায় এমপি হওয়া একজন গোপাল ভার বলে কি।,পাবনা,Dhaka,
জুলাই জঙ্গিদের কপালে অনেক দুঃখ আছে,Dhaka,,
"""প্রদীপের আলো নিভে যাচ্ছে তোমাদের। অন্য কেউ নয়, জামায়াত তোমাদের রক্ত পান করে তোমাদের রক্ত শুন্য করে নিজেদের রাজনৈতিক, সামাজিক মৃত্যু হবে""",Dhaka,,
"""কোটার জায়গা কোটা রইল, জুলাই গেল জলে।…""",Jamalpur,,
শালা টোকাই,Sylhet,,
"""লজ্জা শরম না থাকলে, প্যান্ট খুলে রাস্তায় দাঁড়িয়ে থাকো জোকার।""",Dhaka,Sylhet,
এবার এবার নক করবা না নামোনা রাস্তায় দেখনা মানুষ তোমাদের কি বলে বাজান পুলিশ হত্যার বিচার হবে ইনশাল্লাহ,Narayanganj,Comilla,
তুই রাজাকার তুই বাটপার তুই জঙ্গি তুই টোকাই তুই দেশদ্রোহী,Chittagong,,
"""জুলাই ব্যবসায়ীরা যেন পালাইতে না পারে, যেখানে পাবেন তাদেরকে শহীদ বানায় দিয়ে দিয়েন, তারা দেশে শত্রু,।""",Dinajpur,,
তোমাদের মতো কোটার এমপিরা সংসদে না থাকাই ভালো।,Dhaka,Mymensingh,Cox's Bazar
"""১৭ বছর দলীয়করণের বিরুদ্ধে বললেন, আর এখন নিজেরাই সারাদেশ দলীয়করণ করলেন …""",চট্টগ্রাম,কক্সবাজার,Cox's Bazar
তাতে বয়ে গেল।,চট্টগ্রাম,,
সংসদে কথা বলা দরকার নাই,Dhaka,Barisal,
জামাত এর তার জোট গুলার উচিৎ । বি এন পি আর আওয়ামী মত দেশ টুলে পুটে খাওয়া।কারন এই দেশ হছে নষ্ট জনগণের দেশ।,Chittagong,Noakhali,
সহমত,Khulna,,
পাগল বলে কি? কিসের সাথে কি,Chittagong,,
তোমার মত অপদার্থ সংসদে যাওয়ার দরকার কি বলতো,Dhaka,Chittagong,Noakhali
ঠিক,Dhaka,Comilla,Cox's Bazar
আপনারা ছাত্র হিসেবে কলঙ্কিনী অধ্যায় থাকবেন বাংলাদেশ,Dhaka,Chittagong,
ওডা হানকির পুয়া,Dhaka,,
এনপিপির চুরেগো খাঁচায় দেখতে চাই,Dhaka,,
কিসের সংবিধান সংস্কার পরিষদ ৭১র আছে একাত্তর থাকবে খানকির পোলা নাহিদ,Dhaka,,
তোর মতো টোকাই না গেলে ভালো,Dhaka,,
চুদির ছাওয়াল পাকিস্তানের বীজ তোকে কে বলেছে কথা বলতে,Dhaka,,
ভয়ে আছে,Dhaka,,
আগে তোর ভূরি কমা,Dhaka,,
"""এনসিপির সকল দূর্নীতি,অনিয়মের বিচার দাবি করছি।""",চট্টগ্রাম,Chittagong,
তোর কপালে শনি আছে,Dhaka,,
"""পাটোয়ারী জাহাঙ্গীরনগর, বুয়েট সহ বিভিন্ন ক্যাম্পাসে ছাত্রদের উষ্কে বেড়াচ্ছে, আবার জুলাইয়ের মতো মেটিকুলাস ডিজাইন সাজাচ্ছে সম্ভবত…""",Dhaka,Chittagong,Kushtia
তুই কোন চেটের বাল যে তোকে সংসদে কথা বলতে হবে।,Dhaka,,
পরিবেশের দরকার নেই,Dhaka,,
Thik bolcen,Dhaka,,
টুকাই,Dhaka,,
Hazar hazar koti taka durniti korecho bap mama khalu neay socib 30 Koti MD 70/80 koti chairman 100/200/300 koti ki porimane lu…,Dhaka,,
শালা দালাল,Lalmonirhat,,
পদত্যাগ করে রাজপথে আসো হ্যাডম থাকলে,Narayanganj,,
তোর ঘরে গিয়ে সংস্কার কর না হলে পাকিস্তানে গিয়ে কর,খুলনা,Khulna,
"""তুই রাজাকারের বাচ্চা খানকির পোলা, বেশ্যার পোলা,,,,,""",Dhaka,Pabna,
আমরা রাজপথের প্রস্তুতিও নিচ্ছি।…,Panchagarh,,
সঠিক,Dhaka,Natore,
আচ্ছা তোরা সংসদে যাইস না বাপু,Dhaka,Narayanganj,
তোরা কি কথা বলবি যা কথা বলার আমাদের প্রধানমন্ত্রী বলবে।,ঢাকা,Dhaka,
"""জুলাই জঙ্গি,দমন করা হোক""",Dhaka,,
দূর্নীতিবাজদের সর্দার,Chittagong,Chandpur,
তোর দরকার আছে বলে মনে হয় না,Tangail,,
Jara sahwa haowa baltepare tader sagsode katha balar darkar nay,Dhaka,,
আচ্ছা হেতে বলে প্রথান মন্ত্রী সপ্ন দেখতো ইউনুসের কোলে শুয়ে।,Chittagong,,
বাপের জন্মের সংসদ কি বোঝো,Dhaka,,
তুমি কথা না বললে বাল ছিডা যাবেনা।,Dhaka,,
মোহাম্মাদ কাসীম-এর নেতৃত্বে মুসলিম উম্মাহর ঐক্যের আহ্বান তুলে ধরা হয়। প্রায় ১৮০ কোটি মুসলিম থাকা সত্ত্বেও আজ উম্মাহ বিভক্ত ও ন…,Dhaka,,
পদত্যাগ করে ফেল,Dhaka,Chittagong,Noakhali
বিবেক বুদ্ধিকে শয়তানের ধোঁকার মধ্যে বিশ্রামে রেখে অতি আবেগকে সম্মান করে কথিত বীর বেসে রাস্তায় নেমে লাশ হয়ে ফিরার আগে একটু ভাবু…,Chittagong,,
গোপালভার,Chittagong,Barisal,Patuakhali
আগে সংবিধান রচৈয়তার পায়ে সালাম করে এসো,Chittagong,,
তোমরা দুর্নীতি বন্ধ করে আগে নিজেরা সংস্কার তৈরি কর! দেশের সংস্কার নিয়ে বসে থাকলে হবে অমুক,Chittagong,Noakhali,
"""প্রেম করার ইচ্ছে করতাছে কিন্তু লজ্জায় কাউকে বলতে পারতেছি না, তাই ফেসবুক থেকে একজন বন্ধু চাই""",Dhaka,,
"""দল যার যার, এনসিপি পিটানোর দায়িত্ব সবার,""",সিলেট,Sylhet,
[সন্দেহজনক লিঙ্ক সরানো হয়েছে]...,Dhaka,,
"""বর্তমানে কি সংবিধান আছে, সংস্কার কোন সংবিধানের করতে হবে, বাস্তবায়ন কোন সংবিধান হবে, তা জনসম্মুখে দেখানো হোক। সকল,সমস্যা র ব্যাখা কোন চ্যানেল এর মাধ্যমে জনগনকে বুঝিয়ে দেওয়া হোক।""",Dhaka,,
"""জুলাই সনদ বাস্তবায়ন না করলে,, এই সংসদ অবৈধ,, ৭২ সংবিধান দেশ চললে,, ৭২ সংবিধানে নির্বাচন ২৯ সালে,, জুলাই সনদ বাস্তবায়ন না হলে জুলাই যোদ্ধারা আবার রাস্তায় নামবো""",Dhaka,Natore,
জামিন দেওয়া শুরু হয়ে গেছে আমাদের সব জয়বাংলা নেতাদেরকে জামিন দেওয়া হোক ধন্যবাদ প্রধানমন্ত্রী তারেক রহমান স্যারকে,Cox's Bazar,,
"""আরে বেডা তুই হত্যাকারী, পুলিশ হত্যাকারী তোর কিসের কথা, , তোর তো বিচার হবে""",Dhaka,Comilla,
"""কোটার জায়গা কোটা রইল, জুলাই গেল জলে। ফকিন্নির পোলারা নেতা হইল, লীগের লুঙ্গির তলে।""",Jamalpur,,
"""১৭ বছর দলীয়করণের বিরুদ্ধে বললেন, আর এখন নিজেরাই সারাদেশ দলীয়করণ করলেন এটার নাম-ই মুনাফিকি।""",চট্টগ্রাম,কক্সবাজার,Cox's Bazar
আমরা রাজপথের প্রস্তুতিও নিচ্ছি। - নাহিদ ইসলাম,Panchagarh,,
আলহামদুলিল্লাহ,Dhaka,Mymensingh,
উনাকে আজিবন রাষ্ট্রপতি করে রাখার জোর দাবি জানাচ্ছি,Dhaka,Tangail,Kushtia
"""খেলা যে চলছে কোন লেভেলে, বোঝা বড় দায়""",Dhaka,Manikganj,
অনেকে চিল্লা চিল্লি করছিলো কিন্তু সবি তো i have Plan,ঢাকা,Dhaka,Rajshahi
কার পাশা গেছে কার টেবিলে খেলা যে চলছে কোন লেভেলে,Dhaka,,
ইয়েছ উদ্ ের মত কেউ হয়ত আসছে।,Sylhet,,
কে হতে যাচ্ছে সেই ভাগ্যবান ব্যাক্তি,Dhaka,Narsingdi,
আমাকে রাষ্ট্রপতি হিসেবে নেয়া যাবে কি বস?,ঝালকাঠি,Barisal,
"""কেউ আইনি নোটিশ পাঠাতেই পারে, কিন্তু রাষ্ট্রপতি অপসারণের ক্ষমতা শুধু সংসদের হাতে। সংবিধান কী বলে সেটা আগে জানা দরকার।""",Khulna,,
শপথ বিষয়ক মন্ত্রণালয় গঠনের দাবি জানাচ্ছি এবং তাকে ঐ মন্ত্রণালয়ের মন্ত্রী বানানো হোক,Dhaka,,
"""সাধারণ নাগরিক হিসেবে জানতে চাই, একাত্তরের মহান মুক্তিযুদ্ধ ও মুক্তিযোদ্ধাদের অস্বীকার বা অপমান করার ঘটনায় মান্যবর আইনজীবী সাহে…""",Dhaka,Sylhet,
"""ওনি যখন শপথ নিয়েছে, তখন তো জুলাই ছিলো না,""",Dhaka,Feni,
এই দামড়াকে রাষ্ট্রপতি রেখে খালি অজস্র সমালোচনার জন্ম দেওয়া ছারা কাজের কাজ কিছুই হবে না। পাঁঠাটাকে দ্রুত সরানো দরকার।,Dhaka,,
চাটাচাটি করে লাভ হলো কই,রাজশাহী,Dhaka,Munshiganj
Mr. Tareq has a plan!,Dhaka,Rangpur,
ধন্যবাদ তারেক রহমান কে,Dhaka,,
ওরে ভাই এখানে ও সমঝোতা চলতাছে,Dhaka,Khulna,Barishal
আম ছালা সব গেল তাহলে,Dhaka,,
Cat out of the bag,Dhaka,Naogaon,
রাষ্ট্রপতি কি জুলাই সনদের শপথ নিছে নাকি,Dhaka,Barisal,
আলহামদুলিল্লাহ,Dhaka,Khulna,Satkhira
নজরুল ইসলাম খান আমার মনে হচ্ছে,Rangpur,Dinajpur,
বেছে বেছে ছবিটা সেরা দিছেন,Dhaka,Rangpur,Pabna
Valo decision,নীলফামারী,Dhaka,Rangpur
ওমা এখন সংবিধান কই গেলো? এর মেয়াদ তো ২০২৮ সাল পর্যন্ত,Dhaka,Comilla,
বর্তমান রাষ্ট্রপতি ধন্য তিন সরকারকে একাই শপথ পড়িয়েছেন,সিলেট,Sylhet,Comilla
"""সব নাটক,রাষ্ট্রপতি নিজেই বলেছে বি এম পি চাইলে সরে যাবে,""",চট্টগ্রাম,Chittagong,
Ley Nahid Ahamed Niloy khamba jodi vlo vabe lig domon na kore tahole kiso din por Bnp Ry khuja pawa jabe na,Naogaon,,
নামের আগে মোঃ হয়ে গেছে এখন!,Mymensingh,Tangail,Sherpur
ডক্টর ইউনুসকে নতুন রাষ্ট্রপতি বানানো হোক।,Dhaka,,
The game started but prime point is loading...,Dhaka,,
"""তারাই বলে রাষ্ট্রপতির ক্ষমতা বাড়াতে হবে তাকে পুতুল বানিয়ে রাখা যাবে না, এখন আবার রাষ্ট্রপতি কথা বলতে গেলে ও আবার দোষ।""",Dhaka,Chittagong,Noakhali
"""আরে ভাই আসল কথা হইল প্রবাদে আছে যার নাক কাটা যায় একবার সে যায় বাড়ির বাহির দিয়ে, আর যার নাক কাটা যায় বার বার সে যায় বাড়ির ভিতর দিয়ে।""",Manikganj,,
"""প্রথমত, জুলাই বাংলাদেশের সংবিধানের কিছু না। কিছু না মানে কিচ্ছু না!!!…""",ঢাকা,Dhaka,
Power of GnZ,Dhaka,Rangpur,Kurigram
Taratari koren,চট্টগ্রাম,Khulna,Jessore
যতই চাটাচাটি করোক। উনাকে সেই লেভেলের একটা কিক দিয়ে বের করে দিবে এটাই শিওর।…,ঢাকা,সিলেট,Sylhet
এই কাজটা কোন বট বাহিনী কে করেছে,Dhaka,,
শেষ পর্যন্ত না দেখলে কিছুই বোঝা যাবে না কোন দিকে যাচ্ছে মোড়।,Dhaka,Khulna,Gazipur
চাটা চাটি করে মনে হয় লাভ হলো না,Sylhet,,
ওক্কে মামু,নরসিংদী,Dhaka,Rajshahi
চেটে নয় খেটে খাও,Dhaka,,
মনে হচ্ছে খেলা শুরু-!!,চাঁদপুর,Dhaka,Chittagong
"""ও কাগা অ, এত তেলাইলা তা-ও কাম অইলো না।""",Dhaka,Narsingdi,
ভালো উদ্যোগ,Dhaka,,
তাকে অতিদ্রুত সরিয়ে ফেলেন,Dhaka,Tangail,
বক কবির,Dhaka,Kishoreganj,
সঠিক সিদ্ধান্ত,Feni,,
ইয়া কিহা হুয়া,ঢাকা,Chittagong,
সঠিক সিদ্ধান্ত,Barisal,Patuakhali,
আলহামদুলিল্লাহ,Dhaka,,
Ahare jala ontore jala,Dhaka,Faridpur,
শাহরিয়ার সাহেব মাঝে মাঝে হাত দিয়ে দেখবেন বিছি আছে নাকি,Natore,,
রাষ্ট্রপতিকে স্থায়িত্ব করার পথ সুগাম করে দিলেন না তো?,Dhaka,Gazipur,
