 ,Location 1,Location 2,Location 3
"""তাদেরকে """"র"""" এর ট্রেনিং দিয়ে দেন""",ঢাকা,সুনামগঞ্জ,
বাংলাদেশ শিল্পকলা একাডেমিতে বাউল দলে কিছু ভন্ড আছে ওই ভন্ডদের কে আইনের আওতায় আনতে হবে,Lalmonirhat,,
কলকাতা ও যদি জায়গা না হয় তো কই যাবে,Dhaka,Gazipur,
ভারত এখন তাদের গ্রেফতার করে বাংলাদেশে পাঠাবে আর ভারতের দালাল তারেক জিয়া তাদেরকে বাংলাদেশ মুক্ত করবে এটাই হচ্ছে plan,Dhaka,Rangpur,
ভালো সংবাদেই কেন সবথেকে বেশি মানুষ হা হা দেয়! বুঝিনা ব্যাপারটা,Dhaka,,
দুই পর দেখবো মুক্তিযোদ্ধার লিস্টে হেতার নাম,Dhaka,,
কোনকিছু পরার আগেই শুধু উনার ফেইস দেখে হা হা রিয়েক্ট দিয়ে দেওয়ার যে বেপারটা,Sylhet,,
এরে দেখলে হাসি পায় ক্যান?,Dhaka,,
------- যোগ্যতা বিষয় না …,Dhaka,Mymensingh,
এক ধাক্কায় এতদুর,পাবনা,Dhaka,Rangpur
সে যুদ্ধের সময় তার বাবার পেটে লিকুইড ফর্মে ছিলো। তাই তাকে একজন লিকুইড মুক্তিযুদ্ধা বলা যায়।,Chittagong,Brahmanbaria,
মানুষ এত পরিমাণ হাসি কেমনে হাসতে পারে,Chittagong,,
আমি জানিনা কেন জানি এই পোস্ট দেখার পর অটোমেটিক মুখে হাসি চলে আসছে,Dhaka,,
জুলাই যুদ্বে কি ভেসে এসেছে?,Chittagong,,
যাইহোক এই মন্ত্রণালয়ে কেও ঘেরাও দিতো না,Dhaka,,
"""সময়মত সংসদে পৌছাতে না পারা ছেলেটাও এখন মন্ত্রনালয় চালাবে, ভাবা যায়""",নীলফামারী,Dhaka,Nilphamari
সেরা,Dhaka,,
ও কি মন্ত্রী হওয়ার যোগ্য?,Sylhet,Habiganj,
সবাই এত খুশি হইছে যে সবাই হা হা করতেছে,Dhaka,Barisal,
এক ঠ্যালায় এতো দূর,Barisal,Pirojpur,
ঘেরাও বিষয়ক মন্ত্রী,Dhaka,,
"""যায়গামত দিছে বিম্পি সঠিক যায়গা সঠিক মাল, এবার মুক্তিযুদ্ধ নতুন ভাবে লিখা হবে""",Dhaka,Mymensingh,
ফুলের তোড়া দিতে আর ধাক্কা ধাক্কির প্রয়োজন নেই!,Dhaka,Sylhet,
দেশের হোগাম্রা শেষ...,Dhaka,,
প্রথমে চোখ পড়তেই প্রতিবন্ধী পড়ে ফেলছিলাম,Chittagong,,
Ai halare muktijuddhobisoyok dilo kon akkel e .onno montri hisebe dile mana jaito . advocate fazlur saheb k dile valo hoito:) …,Dhaka,Munshiganj,
ওনি কি মুক্তিযোদ্ধা। যখন কেউ না থাকবে তখন অন্য কথা।,Dhaka,Gazipur,
"""তো আরকি, এইবার বীর মুক্তিযোদ্ধা ইশরাকের নতুন দিগন্ত শুরু হবে। মুক্তিযুদ্ধ সম্পর্কে নতুন নতুন ইতিহাস প্রনায়ন করবে। এমনিতেই ইতি…""",Dhaka,Chittagong,Gazipur
অথচ বীর মুক্তিযোদ্ধা ফজলুর রহমান কে দিতে পারতো,Dhaka,,
সে যুদ্ধে গেছিল আমি তার সহযোদ্ধা ছিলাম গুলিতে তার বুকটা ছারখার হয়ে গেছিল এটা নিয়ে বিরোধ করলে রাজুতে ডাক দিব,Dhaka,,
সে তো সে সময় বাচ্চা ছিল। অবশ্যই এখানে বিএনপি'র এডভোকেট ফজলুর রহমানকে আনা উচিত,Dhaka,,
নিশ্চয়ই কেয়ামতের আগে অযোগ্য মানুষ বড় বড় সিংহাসনে বসবে। এতে হতাশ হওয়ার কিছুই নেই ভাই।,Dhaka,,
এরে দেখলে ক্যান জানি চাপড়াইতে মন চায়,Dhaka,,
"""tar mane betay kono kamera na, eda BNP o bujhche!""",Dhaka,,
জার জন্ন যুদ্ধের পরে সে আবার মুক্তিযুদ্ধ বিষয়ক হয় কেমনে,Dhaka,,
ভাই এর নামটা মুক্তিযোদ্ধা লিস্টে দেওয়া যায় না,Dhaka,,
ইয়ে আব কনসি চিরিয়া কা নাম হে বেটা ?,Dhaka,,
আর মানুষ পাইলো না,Dhaka,Kishoreganj,
Oke sweeper banano hok,Dhaka,,
আহ কি খুশিরে,Chittagong,,
@আল্লাহ সর্বশক্তিমান:তান্ত্রিক ওমর ফারুক কবিরাজ যে কোন সমস্যা থাকলে বল তত ইনশাল্লাহ স্বামী স্ত্রী অমিল প্রেম ভালোবাসা ব্যর্…,Dhaka,,
"""ইউজার অথবা মাস্টার একাউন্ট করতে যোগাযোগ করুন। সারা দেশে ৩০% কমিশনে মাস্টার এজেন্ট নিয়োগ, ১ টাকাও ইনবেস্ট করতে হবে না। …""",Dhaka,,
"""ভাগ্যভালো, চুমু শপি হয় নাই। …""",Dhaka,,
"""মেয়র হতে চেয়েছিলো, হয়ে গেলো প্রতিমন্ত্রী …""",Dhaka,Khulna,
I have a plan,Dhaka,,
কবে জানি নামের আগে বীর মুক্তিযোদ্ধা লাগায় দেয়,Narayanganj,,
Follo tu follo bak 100% garente,Dhaka,,
ইসরাক ভাই আমার বয়স ৩০ আমিও মুক্তিযুদ্ধ করছি ভাই আমাকে একটা ভাতা দেওয়ার ব্যবস্থা করিয়েন আমার পোলাপান জেনো কোডা পায়,Dhaka,,
যুদ্ধ নিয়ে সে কি বুঝে? তার কি তখন জন্ম হয়েছিল?!!!!!,Dhaka,,
ভাই ধাক্কা ধাক্কি আবার কবে করবেন?,Dhaka,,
গোয়া মারছে,Dhaka,Narsingdi,
Halr po ala,Chittagong,,
কিছু পর দেখবো ওর নাম মুক্তিযোদ্ধা লিস্টে সবার উপরে,Chittagong,Chandpur,
Klk dekben oni onar bap ma pola meya sob muktijoddha,Dhaka,Tangail,
Khaiya diche re muktijuddhare,বরিশাল,Barishal,Barisal
শেষ ধ্বংস,Dhaka,,
"""হা হা হা,,,,""",Chittagong,,
আলহামদুলিল্লাহ সুন্দরভাবে দেশ পরিচালনা করুন এটাই কাম্য,Dhaka,,
এই ও দেখা লাগলো বাঙালির,Dhaka,,
Nice pic,Dhaka,,
আচ্ছা কোন যুক্তিতে সে এই পদ পাইলো,Dhaka,,
ওরে ল্যাওড়া,Dhaka,,
ইতিহাসের বারোটা বাজিয়ে দিবে,Dhaka,Gazipur,Tangail
প্রতিমন্ত্রী কে প্রতিবন্ধী পরে পেলছি,Chittagong,,
কাম সারছে,Barisal,Bhola,
সবাই হাসে ক্যা,Dhaka,,
"""নিমডা দোজরাজ টেলমি, হারতাবুশ ক্রাকুইকিনইন বুমলাহ মহিনুজ্জুকু লো হাকুয়ে""",Dhaka,Rangpur,Bogura
