Comment,Location 1,Location 2,Location 3
প্রধানমন্ত্রীর চেয়ারের নিচে পায়ের কাছে ছাত্রদল সভাপতিকে বসিয়ে রাখা কষ্ট দেয় না,Dhaka,,
তুইও গত ১৭ বছর দৌড়ায়ছিস,Dhaka,,
এযাবৎকালে যা বলছিস তোর এই একটা কথা ভালো লাগলো,Dhaka,Mymensingh,Manikganj
ওটা নিয়ে তোমার কষ্ট নাই তোমার কষ্ট হচ্ছে তোমার পিছনে কেউ কেন দৌড়ায় না।,ফেনী,Feni,
তাহলে উনাকে একটি গাড়ি উপহার হিসাবে দিয়ে ! আপনাদের তো এখন টাকার কোনো অভাব নেই।,Sylhet,,
"""উপজেলা স্বাস্থ্য কমপ্লেক্সে যোগাযোগ করুন, ভ্যাকসিনের ব্যবস্থা হয়ে যাবে",Rajshahi,Sirajganj,
"""১৮ মাসে যা লুটপাট করছো, তাতে কষ্ট দেয়না????",Barisal,,
ভাই তোদের মুখে এর চেয়ে ভালো মন্তব্য আশা করা যায় না!,Dhaka,Narayanganj,
হাহাহাহহাহা,Dhaka,,
কেন আপনি যখন ডক্টর ইউনুসের ধনে ধইরা লটকাই থাকতেন তখন কি কষ্ট হয় নাই,Comilla,,
"""আগে বলতি আমার বঙ্গবন্ধু,, এবার বলবি আমার জিয়া,,,,,, সেলুকাস",Chittagong,Lakshmipur,Noakhali
তাহলে আমাদের ভালো লাগবে,Rajshahi,,
কথা সত্য হলেও তুই যে সংসদ সদস্য হতে পারোছ নাই এই দুঃখ আমরাও বুঝতে পারছি।,Dhaka,,
তোরে দেখলে যানি কেমন কেমন লাগে রে,Dhaka,Bogra,
মহাসুখের শেষ হলে সবকিছুতেই কষ্ট হয় সার্ভিস ভাই!,Dhaka,Khulna,Jessore
আপনার কষ্ট লাগলেও আমাদের ভালো লাগে কারণ হাড্ডি দেখলে যেমন কুত্তা দৌড় দেয় প্রধানমন্ত্রীর গাড়ি পেছনে তেমন ছাত্রদল দৌড়ায়,Dhaka,Rangpur,Nilphamari
বেটা ভোটে হেরে পাগল হয়ে গেছে ভাই চিন্তা নেই next time hobe from bd cricketer speech,যশোর,Khulna,Jessore
আহ!! সোনা গো আমার #সেও দৌড়াতে চাই,Dhaka,Rajshahi,Khulna
মুই কোন হনুরে,Dhaka,,
কষ্ট কেন পাবেন ভাই?? সামান্য তেল মারতে গিয়েছিল।,Dhaka,,
এত তো তোমাদের গাড়ির পেছনে দৌড়াইছে তখন কষ্ট লাগে নাই,Khulna,Jessore,
Bhai amakew kosto dei,Dhaka,,
সারজিছের কথা ঠিক আছে,Dhaka,Khulna,Kishoreganj
এটা সেই ছেলে না যে আমার বঙ্গবন্ধু আমার বঙ্গবন্ধু বলে গলার টিস্যু ছিড়ে ফেলতো?,Dhaka,,
তোমার বঙ্গবন্ধুকে নিয়ে তেল দেয়া বক্তব্য কিন্তু শুনেছি!,Dhaka,,
বাচা একটা চাটাচাটি না করলে উপরে উঠা যায় না।উপরে উঠতে হলে নেতার জুতা চাটতে হয়। সেই জন্য প্রধানমন্ত্রী গাড়ি পিছনে দৌড়ানো লাগে।বুঝছো সারজিস,Dhaka,,
তাহলে তোমার পিছে দৌড়াবে নাকি?,নোয়াখালী,Dhaka,Noakhali
তোমার পেছনে দৌড়ালে কি খুশি হতে।,Dhaka,Khulna,Jessore
তুই ১৬ মাস কার গাড়ির পেছনে দৌড়ে ছিলে?,Sylhet,,
আমার বঙ্গবন্ধু বলে তেলবাজী করা সারজিদ আলমের কষ্ট হওয়াটাই স্বাভাবিক,সিলেট,Sylhet,
কেন? তুমি দৌড়াবে?,Dhaka,Mymensingh,
অন‍্যের বিষয় না দেখে তোমাদের দূর্নীতির খবর নে,Dhaka,,
তেল মারতে দৌড়ায় ছাত্রদল,Dhaka,,
পোদ পেতে হবে ত চা-টা চাটি করলে তো ভালো ফলন আসতে পারে সেটি হোক না মান ইজ্জত এর লড়াই,Chandpur,,
Amar chotobelar kotha mone pore. Cinemar liflet dito rickshaw te. Peson peson douratam ekta liflet paoar jonno. R pele monta h…,Dhaka,,
Manushjon je rastai ghontar por ghonta take thake erjonnyo kosto hoi na..?!..ekhon desh gorar kaje lege gele Valo hobe...manush upokrito hobe ..,Dhaka,Chittagong,
তাহলে কি ছাত্রলীগ দৌড়লে খুশি হতে,Chittagong,,
তুমি কস্ট পাইলে আমাদের শান্তি লাগে,Narayanganj,,
আহা কি জ্বালা! অন্তর জ্বালা,Dhaka,Gazipur,
আরে কি মায়া! টাকলা মুরাদ ২,Dhaka,Faridpur,Gazipur
