dataset,dataset_slug,topic_id,topic_prevalence,top_terms,term_1,weight_1,term_2,weight_2,term_3,weight_3,term_4,weight_4,term_5,weight_5,term_6,weight_6,term_7,weight_7,term_8,weight_8,term_9,weight_9,term_10,weight_10
After Forming Government,after_forming_government,0,0.19836407652821694,"মাফিয়া, শুরু, নিজেই, বিএনপি, জুলাই, বড়, হয়ে, বিএনপির, সে, জুলাইয়ের",মাফিয়া,94.1966665762897,শুরু,48.08141221863443,নিজেই,40.197399236155455,বিএনপি,37.79968731190751,জুলাই,34.086277165068296,বড়,31.448149055034364,হয়ে,27.5242515465549,বিএনপির,26.173893679986556,সে,21.935647218887027,জুলাইয়ের,19.88919578039564
After Forming Government,after_forming_government,1,0.1799180417546873,"ভোট, ভালো, চাই, দেখতে, পল্টি, জনগণ, মনে, ভাই, দেখা, বি",ভোট,53.44830008543667,ভালো,35.99894579464912,চাই,35.54343097853098,দেখতে,32.19121120213882,পল্টি,25.198224926615623,জনগণ,24.759352358053317,মনে,20.373998134393645,ভাই,17.61203272690765,দেখা,17.10169856395038,বি,16.197665015855648
After Forming Government,after_forming_government,2,0.1837542874481386,"প্রধানমন্ত্রী, আলহামদুলিল্লাহ, আল্লাহ, তারেক, রহমান, বছর, ইনশাআল্লাহ, এগিয়ে, নাই, আমিন",প্রধানমন্ত্রী,60.19252190742343,আলহামদুলিল্লাহ,47.1965754961903,আল্লাহ,40.43307859707274,তারেক,40.19443047328274,রহমান,30.197022700869383,বছর,30.10860915889726,ইনশাআল্লাহ,23.23480600734578,এগিয়ে,21.66972733860861,নাই,18.82772878180092,আমিন,18.198584457677217
After Forming Government,after_forming_government,3,0.22058012936127996,"কাজে, কাজ, যাবে, ঠিক, দেশের, ভালো, মিল, করেন, প্রথম, ভাই",কাজে,75.1983407725143,কাজ,50.17058217256237,যাবে,40.192852245114,ঠিক,35.19402946604261,দেশের,35.16612774782143,ভালো,34.4494754361996,মিল,34.19809224828834,করেন,31.914940059095173,প্রথম,30.335818886924223,ভাই,29.247825563507348
After Forming Government,after_forming_government,4,0.21738346490767477,"শপথ, সংবিধান, করতে, তাহলে, সংস্কার, নির্বাচন, শুরু, বিএনপি, সরকার, জুলাই",শপথ,76.47802277630967,সংবিধান,75.66540720583295,করতে,66.85449145915746,তাহলে,65.71190553911472,সংস্কার,52.79993576851262,নির্বাচন,47.195760556519076,শুরু,45.11845159818789,বিএনপি,43.75150960416191,সরকার,41.192232222278875,জুলাই,37.97614382992684
