dataset,dataset_slug,topic_id,topic_prevalence,top_terms,term_1,weight_1,term_2,weight_2,term_3,weight_3,term_4,weight_4,term_5,weight_5,term_6,weight_6,term_7,weight_7,term_8,weight_8,term_9,weight_9,term_10,weight_10
5 Post June 2026,5_post_june_2026,0,0.18176153140714651,"ধন্যবাদ, বাংলাদেশ, আপনাকে, দেশ, মাননীয়, তাহলে, নয়, মুক্তিযোদ্ধাদের, ভাতা, মুক্তিযোদ্ধা",ধন্যবাদ,93.19654501841927,বাংলাদেশ,49.09957432207688,আপনাকে,37.078679103253315,দেশ,32.4680482138372,মাননীয়,28.678600401177544,তাহলে,27.42924547247614,নয়,27.065268316671304,মুক্তিযোদ্ধাদের,26.64610860790125,ভাতা,26.040286287941978,মুক্তিযোদ্ধা,25.954342331849585
5 Post June 2026,5_post_june_2026,1,0.2201473195846434,"বিচার, জোকার, আইন, হুজুর, সে, বলে, দেওয়া, খালাস, রায়, দলের",বিচার,125.19739782411193,জোকার,77.19489195398904,আইন,67.45303682897905,হুজুর,67.19762408247674,সে,63.50977010962158,বলে,55.046305542004596,দেওয়া,53.19044886704788,খালাস,50.19772438419303,রায়,46.19767615485507,দলের,43.19535668917135
5 Post June 2026,5_post_june_2026,2,0.17662375027319316,"ঠিক, হা, ki, na, পাগলা, টুপি, বলেছেন, সঠিক, মনে, ক্যামেরা",ঠিক,104.19547033443664,হা,44.19923285430992,ki,33.19954805240415,na,28.19928612533369,পাগলা,25.549268813173235,টুপি,25.194647558783185,বলেছেন,24.194989470637356,সঠিক,23.135499484107488,মনে,22.045186595693185,ক্যামেরা,21.19552262710323
5 Post June 2026,5_post_june_2026,3,0.2137734582105624,"দাম, কোন, টাকা, বিদ্যুৎ, নাই, তাহলে, পারে, বেশি, তেল, বলে",দাম,157.19770355051466,কোন,68.9934032748338,টাকা,66.76811773800509,বিদ্যুৎ,55.19409587698005,নাই,53.87895712653071,তাহলে,49.35507762341946,পারে,39.72973973981707,বেশি,37.559953099312786,তেল,37.29508119931624,বলে,35.91107675337102
5 Post June 2026,5_post_june_2026,4,0.20769394052445636,"আলহামদুলিল্লাহ, মানুষ, হয়ে, পাগল, কাজ, ভালো, তারেক, রহমান, নাই, পার্থ",আলহামদুলিল্লাহ,98.19884506213221,মানুষ,71.0077040286118,হয়ে,68.56065423156655,পাগল,59.19587699890751,কাজ,48.55015169121694,ভালো,45.82545652377551,তারেক,41.19498551122641,রহমান,37.19727214266994,নাই,34.93479507325603,পার্থ,34.19561661419373
