dataset,dataset_slug,topic_id,topic_prevalence,top_terms,term_1,weight_1,term_2,weight_2,term_3,weight_3,term_4,weight_4,term_5,weight_5,term_6,weight_6,term_7,weight_7,term_8,weight_8,term_9,weight_9,term_10,weight_10
After Election,after_election,0,0.20862455880168376,"দাদু, ইনশাআল্লাহ, খবর, দাঁড়িপাল্লা, চেহারা, হয়ে, ভালো, ভোট, পাল্লা, মুখে",দাদু,35.98268550411812,ইনশাআল্লাহ,32.01300860575563,খবর,31.51311564852578,দাঁড়িপাল্লা,31.19596800065857,চেহারা,25.197658872657396,হয়ে,23.791735640988414,ভালো,21.39562814971706,ভোট,19.25758746235854,পাল্লা,18.19840681620483,মুখে,18.195915229581676
After Election,after_election,1,0.1948401316415297,"দালাল, তাহলে, কাকু, মন, খারাপ, ভোট, বছর, প্রধানমন্ত্রী, নাই, যাবে",দালাল,55.19830601932396,তাহলে,28.060003963203723,কাকু,25.964214779435682,মন,23.19553554972383,খারাপ,19.195153314441292,ভোট,16.349543392735466,বছর,16.134659743822592,প্রধানমন্ত্রী,16.02738058629506,নাই,14.918643542455799,যাবে,12.577822928283474
After Election,after_election,2,0.2138383264044101,"ইনশাআল্লাহ, বিজয়, ভোট, ধানের, আল্লাহ, জয়, শেষ, আলহামদুলিল্লাহ, শীষ, ঠিক",ইনশাআল্লাহ,116.38334386083183,বিজয়,63.195214275753045,ভোট,52.98147181939113,ধানের,49.209060798097234,আল্লাহ,43.712256129294786,জয়,28.197412643639375,শেষ,24.992187427998772,আলহামদুলিল্লাহ,22.19758661488821,শীষ,20.867482634903798,ঠিক,18.740368897076284
After Election,after_election,3,0.18683925190774145,"মনে, বাংলাদেশ, ভোট, নাই, এত, খবর, বড়, অবস্থা, মানুষ, করতে",মনে,48.193851829634696,বাংলাদেশ,27.43691084392549,ভোট,17.194047890763606,নাই,16.940932177135892,এত,15.762515904172343,খবর,15.427226109065032,বড়,14.708748241210435,অবস্থা,14.062569262226363,মানুষ,14.056746137147377,করতে,14.039846378955174
After Election,after_election,4,0.19585773124463324,"ভোট, সাদা, বলে, শকুন, নাকি, ভাই, প্রথম, জামাত, কয়, দিছে",ভোট,83.21734943474895,সাদা,42.19640710375836,বলে,33.00772981764995,শকুন,31.199061900614552,নাকি,22.212930524051274,ভাই,16.800230762652077,প্রথম,16.250718185842345,জামাত,14.968003656206342,কয়,14.197335153810307,দিছে,13.19656947575595
