dataset,total_rows,non_empty_rows,empty_raw_rows,empty_after_clean,avg_char_length,median_char_length,avg_token_length,median_token_length
1 Before Election,1349,1349,0,6,43.3054114158636,34.0,6.066716085989622,5.0
2 After Election,4784,4784,0,13,37.12855351170568,27.0,5.226170568561873,4.0
3 After Forming Government,4153,4153,0,54,45.33566096797496,33.0,6.1813147122562,4.0
4 June 2026,12450,12450,0,63,41.36016064257028,34.0,5.73566265060241,5.0
5 Post June 2026,3685,3685,0,19,43.31506105834464,33.0,5.972591587516961,5.0
